                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                 1.0423,                0.67379,                 1.2877,                0.88801,                0.98438,                0.90975,                0.58822,                 1.3255,                0.71127,                 1.6054,             0.00074402,             0.00074402,             0.00074402
                     58,                0.99887,                0.63976,                 1.2754,                0.93176,                0.98438,                0.92619,                0.59669,                 1.3248,                 0.6057,                 1.5756,             0.00074102,             0.00074102,             0.00074102
                     59,                 0.9908,                0.62459,                 1.2574,                0.85659,                0.96804,                0.90876,                0.59329,                 1.3534,                0.67196,                 1.6131,             0.00073802,             0.00073802,             0.00073802
                     60,                0.98926,                0.64175,                 1.2644,                0.84921,                0.96875,                0.88685,                0.57049,                  1.328,                0.63226,                 1.6217,             0.00073502,             0.00073502,             0.00073502
                     61,                0.97541,                0.63366,                  1.264,                0.92075,                0.98333,                0.92665,                0.57241,                 1.3304,                0.58402,                 1.6325,             0.00073202,             0.00073202,             0.00073202
                     62,                0.97673,                0.61545,                 1.2464,                0.89983,                 0.9974,                   0.92,                0.59487,                 1.3307,                 0.5811,                 1.5631,             0.00072902,             0.00072902,             0.00072902
                     63,                0.99106,                0.65115,                 1.2523,                0.89696,                0.98438,                0.92983,                0.61342,                  1.267,                0.60473,                 1.5421,             0.00072602,             0.00072602,             0.00072602
                     64,                0.94925,                0.60929,                 1.2409,                0.92413,                 0.9498,                0.96491,                0.60269,                 1.3436,                0.56346,                 1.6163,             0.00072302,             0.00072302,             0.00072302
                     65,                0.99759,                0.61683,                 1.2744,                0.80743,                 0.9048,                0.85608,                0.56258,                 1.3272,                0.84417,                 1.6015,             0.00072002,             0.00072002,             0.00072002
                     66,                 1.0089,                0.64826,                 1.2791,                0.90032,                0.94833,                0.94194,                0.62399,                 1.2885,                0.63101,                 1.5581,             0.00071702,             0.00071702,             0.00071702
