                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 2.0211,                 2.5654,                 2.6584,                0.33266,                    0.6,                0.48692,                0.22912,                 1.9267,                 2.0752,                 2.7206,              0.0012074,              0.0012074,              0.0012074
                     50,                 2.0099,                 2.4734,                 2.6308,                 0.3642,                0.51244,                0.49668,                0.24428,                  1.941,                 2.1079,                 2.6092,              0.0012026,              0.0012026,              0.0012026
                     51,                  1.949,                 2.4007,                 2.5706,                0.32699,                0.76218,                0.49296,                0.25305,                 1.8164,                 2.1237,                 2.5813,              0.0011979,              0.0011979,              0.0011979
                     52,                 1.9639,                 2.3807,                 2.6216,                0.24381,                0.78362,                0.41374,                0.21475,                 1.8444,                 2.1406,                 2.5808,              0.0011932,              0.0011932,              0.0011932
                     53,                  1.918,                 2.3736,                 2.5411,                0.51207,                0.66052,                0.55072,                0.23177,                 1.9557,                 2.1639,                 2.7052,              0.0011885,              0.0011885,              0.0011885
                     54,                 1.9281,                 2.2549,                 2.5441,                0.25218,                    0.7,                0.47257,                0.22377,                 1.8509,                 2.0241,                  2.532,              0.0011838,              0.0011838,              0.0011838
                     55,                 2.0202,                  2.343,                 2.5913,                0.22308,                0.69387,                0.41391,                0.20926,                 1.8918,                 2.1291,                 2.5994,              0.0011791,              0.0011791,              0.0011791
                     56,                 1.9266,                 2.2647,                 2.5678,                0.36466,                    0.7,                0.55243,                0.25042,                 1.9541,                 2.0377,                  2.593,              0.0011744,              0.0011744,              0.0011744
                     57,                 1.9218,                 2.2933,                 2.5404,                0.38489,                0.43571,                0.54159,                0.27017,                 1.7977,                 1.9656,                 2.5821,              0.0011696,              0.0011696,              0.0011696
                     58,                 1.9221,                 2.2952,                 2.5774,                0.29718,                0.56667,                0.47821,                0.21968,                 1.7505,                 2.3807,                 2.5042,              0.0011649,              0.0011649,              0.0011649
                     59,                 1.9166,                 2.3089,                 2.5255,                0.57942,                0.43333,                0.49296,                0.27014,                 1.7167,                 2.0214,                 2.4985,              0.0011602,              0.0011602,              0.0011602
                     60,                 1.9174,                 2.2928,                 2.5713,                0.38868,                0.69246,                0.55082,                0.29442,                 1.8041,                 1.9079,                 2.5253,              0.0011555,              0.0011555,              0.0011555
                     61,                  1.941,                 2.2526,                 2.5476,                0.39688,                0.61384,                0.59481,                0.30869,                 1.8523,                 1.8329,                 2.5311,              0.0011508,              0.0011508,              0.0011508
                     62,                 1.8742,                 2.2454,                 2.5244,                0.37957,                0.76667,                0.52912,                0.28502,                 1.8106,                 1.8103,                 2.4497,              0.0011461,              0.0011461,              0.0011461
                     63,                 1.8372,                 2.2288,                 2.4548,                0.37938,                0.46667,                0.48487,                0.25004,                 1.9061,                 1.9073,                 2.5091,              0.0011413,              0.0011413,              0.0011413
                     64,                 1.8767,                  2.223,                 2.4616,                0.42825,                0.56667,                0.49522,                0.26119,                 1.8369,                 1.8967,                  2.495,              0.0011366,              0.0011366,              0.0011366
                     65,                 1.8768,                 2.2408,                 2.5281,                0.34387,                0.72202,                0.53293,                0.29452,                 1.6877,                 1.9304,                 2.4297,              0.0011319,              0.0011319,              0.0011319
                     66,                  1.865,                 2.1248,                 2.5316,                0.43808,                0.63333,                0.59056,                 0.2875,                 1.7795,                 1.9321,                 2.5681,              0.0011272,              0.0011272,              0.0011272
                     67,                 1.8191,                 2.2075,                 2.5031,                0.63041,                0.63333,                0.68056,                0.32366,                 1.7294,                 1.8597,                 2.5119,              0.0011225,              0.0011225,              0.0011225
                     68,                 1.8268,                  2.212,                 2.5313,                0.45943,                0.53333,                0.58121,                0.27458,                 1.8048,                 1.9552,                 2.6243,              0.0011178,              0.0011178,              0.0011178
                     69,                 1.9099,                 2.2538,                 2.5235,                0.31026,                0.62103,                0.43352,                 0.2185,                 1.9599,                 2.0594,                 2.5801,               0.001113,               0.001113,               0.001113
                     70,                 1.8398,                 2.1469,                 2.4722,                0.30425,                0.73333,                0.50818,                 0.2779,                 1.7316,                 1.8829,                 2.5206,              0.0011083,              0.0011083,              0.0011083
                     71,                 1.8904,                 2.1953,                 2.5566,                0.77225,                0.55679,                0.64746,                0.30805,                  1.987,                  1.779,                  2.675,              0.0011036,              0.0011036,              0.0011036
                     72,                 1.7527,                 2.1851,                 2.4019,                0.60428,                0.43333,                0.60667,                0.32501,                 1.6809,                 1.7498,                 2.4561,              0.0010989,              0.0010989,              0.0010989
                     73,                  1.809,                 2.0566,                 2.4581,                0.32384,                0.76667,                0.55672,                0.27763,                  1.703,                 1.8869,                 2.4252,              0.0010942,              0.0010942,              0.0010942
                     74,                 1.8059,                 2.1141,                 2.4634,                0.31725,                0.55359,                0.52054,                0.25537,                 1.7746,                 1.8203,                 2.4813,              0.0010895,              0.0010895,              0.0010895
                     75,                 1.8619,                 2.0965,                 2.4167,                0.50958,                0.80642,                 0.6034,                0.31417,                  1.779,                 1.7473,                 2.5143,              0.0010848,              0.0010848,              0.0010848
                     76,                 1.7706,                 2.1377,                 2.4426,                0.35678,                0.59971,                0.52265,                0.28554,                 1.5733,                 1.8144,                  2.434,                0.00108,                0.00108,                0.00108
                     77,                 1.7508,                 2.0606,                 2.4098,                0.73675,                    0.6,                0.69796,                0.37124,                  1.621,                 1.7132,                 2.4343,              0.0010753,              0.0010753,              0.0010753
                     78,                 1.7764,                 2.0981,                 2.4531,                0.34972,                0.73333,                0.55618,                0.28603,                 1.6809,                 1.8449,                 2.4965,              0.0010706,              0.0010706,              0.0010706
                     79,                 1.7218,                 2.0387,                 2.4409,                 0.3823,                0.59846,                0.47738,                0.25125,                 1.8351,                  2.009,                 2.6126,              0.0010659,              0.0010659,              0.0010659
